TIME	EVENT
117	AM,IIZ,FDR
118	AZ,ICE,FCE
119	VE,IIZ,FDR
120	AZ,ICE,FDR
121	&
122	:
123	AM,IDR,FIZ
124	AZ,ICE,FIZ
125	RO,IDR,FIZ
126	MA,ICE,FCE
127	MA,ICE,FCE
128	MA,ICE,FDR
129	RO,IIZ,FDR
130	AZ,IIZ,FCE
131	AM,IIZ,FDR
132	VE,IIZ,FDR
133	AZ,ICE,FDR
134	&
135	:
136	AZ,ICE,FIZ
137	AM,IDR,FDR
138	AM,IDR,FIZ
139	RO,IDR,FIZ
140	MA,ICE,FDR
141	RO,IIZ,FDR
142	AM,IIZ,FDR
143	AZ,IIZ,FCE
144	VE,IIZ,FDR
145	AZ,ICE,FDR
146	&
147	:
148	AM,IDR,FIZ
149	RO,IDR,FIZ
150	AZ,ICE,FIZ
151	MA,ICE,FDR
152	AZ,IIZ,FCE
153	RO,IIZ,FDR
154	AM,IIZ,FDR
155	VE,IIZ,FDR
156	AZ,ICE,FDR
157	&
158	:
159	VE,IIZ,FIZ
160	AM,IDR,FIZ
161	AZ,ICE,FDR
162	AM,IIZ,FIZ
163	AZ,IDR,FDR
164	AZ,IDR,FIZ
165	RO,IDR,FCE
166	AZ,IIZ,FCE
167	AZ,ICE,FIZ
168	RO,ICE,FIZ
169	MA,ICE,FDR
170	RO,IIZ,FDR
171	AZ,IIZ,FIZ
172	AZ,IIZ,FCE
173	AM,IIZ,FCE
174	VE,IIZ,FIZ
175	AM,ICE,FDR
176	VE,IIZ,FDR
177	AZ,ICE,FDR
178	&
179	:
180	AM,IDR,FIZ
181	RO,IDR,FIZ
182	AZ,ICE,FIZ
183	MA,ICE,FDR
184	AZ,IIZ,FCE
185	RO,IIZ,FDR
186	AM,IIZ,FDR
187	VE,IIZ,FDR
188	AZ,ICE,FDR
189	&
190	:
191	AZ,ICE,FIZ
192	AM,IDR,FIZ
193	RO,IDR,FIZ
194	MA,ICE,FDR
195	RO,IIZ,FDR
196	AM,IIZ,FDR
197	AZ,IIZ,FCE
198	VE,IIZ,FDR
199	AZ,ICE,FDR
200	&
201	:
202	AZ,ICE,FIZ
203	AM,IDR,FIZ
204	RO,IDR,FIZ
205	MA,ICE,FDR
206	RO,IIZ,FDR
207	AM,IIZ,FDR
208	AZ,IIZ,FCE
209	VE,IIZ,FDR
210	AZ,ICE,FDR
211	&
212	:
213	AZ,ICE,FIZ
214	AM,IDR,FIZ
215	RO,IDR,FIZ
216	MA,ICE,FDR
217	RO,IIZ,FDR
218	AM,IIZ,FDR
219	AZ,IIZ,FCE
220	VE,IIZ,FDR
221	AZ,ICE,FDR
222	&
223	:
224	AZ,ICE,FIZ
225	AM,IDR,FIZ
226	RO,IDR,FIZ
227	MA,ICE,FDR
228	RO,IIZ,FDR
229	AM,IIZ,FDR
230	AZ,IIZ,FCE
231	VE,IIZ,FDR
232	AZ,ICE,FDR
233	&
234	:
235	AM,IDR,FCE
236	RO,IDR,FIZ
237	AM,ICE,FIZ
238	AZ,ICE,FIZ
239	MA,ICE,FDR
240	AZ,IIZ,FCE
241	AM,IIZ,FCE
242	RO,IIZ,FDR
243	AM,ICE,FDR
244	VE,IIZ,FDR
245	AZ,ICE,FDR
246	&
247	:
248	AZ,ICE,FIZ
249	AM,IDR,FIZ
250	RO,IDR,FIZ
251	MA,ICE,FDR
252	RO,IIZ,FDR
253	AM,IIZ,FDR
254	AZ,IIZ,FCE
255	VE,IIZ,FDR
256	AZ,ICE,FDR
257	&
258	:
259	AM,IDR,FCE
260	AM,ICE,FIZ
261	AZ,ICE,FIZ
262	RO,IDR,FIZ
263	MA,ICE,FDR
264	RO,IIZ,FDR
265	AZ,IIZ,FCE
266	AM,IIZ,FDR
267	VE,IIZ,FDR
268	AZ,ICE,FDR
269	&
270	:
271	AM,IDR,FIZ
272	AZ,ICE,FIZ
273	RO,IDR,FIZ
274	MA,ICE,FDR
275	RO,IIZ,FDR
276	AZ,IIZ,FCE
277	AM,IIZ,FCE
278	VE,IIZ,FCE
279	VE,ICE,FIZ
280	AM,ICE,FDR
281	VE,IIZ,FDR
282	AZ,ICE,FDR
283	&
284	:
285	AM,IDR,FCE
286	RO,IDR,FDR
287	AM,ICE,FDR
288	AM,IDR,FIZ
289	RO,IDR,FIZ
290	AZ,ICE,FIZ
291	MA,ICE,FDR
292	AZ,IIZ,FCE
293	RO,IIZ,FDR
294	AM,IIZ,FDR
295	VE,IIZ,FDR
296	AZ,ICE,FDR
297	&
298	:
299	AZ,ICE,FIZ
300	AM,IDR,FIZ
301	RO,IDR,FIZ
302	MA,ICE,FDR
303	RO,IIZ,FDR
304	AM,IIZ,FDR
305	AZ,IIZ,FCE
306	VE,IIZ,FDR
307	AZ,ICE,FDR
308	&
309	:
310	AZ,ICE,FIZ
311	AM,IDR,FIZ
312	RO,IDR,FIZ
313	MA,ICE,FDR
314	RO,IIZ,FDR
315	AM,IIZ,FDR
316	AZ,IIZ,FCE
317	VE,IIZ,FDR
318	AZ,ICE,FDR
319	&
320	:
321	AM,IDR,FCE
322	RO,IDR,FCE
323	RO,ICE,FIZ
324	AM,ICE,FIZ
325	AZ,ICE,FIZ
326	MA,ICE,FDR
327	AZ,IIZ,FCE
328	AM,IIZ,FCE
329	RO,IIZ,FDR
330	AM,ICE,FDR
331	VE,IIZ,FDR
332	AZ,ICE,FDR
333	&
334	:
335	AM,IDR,FCE
336	AM,ICE,FIZ
337	AZ,ICE,FIZ
338	RO,IDR,FIZ
339	MA,ICE,FDR
340	RO,IIZ,FDR
341	AZ,IIZ,FCE
342	AM,IIZ,FDR
343	VE,IIZ,FDR
344	AZ,ICE,FDR
345	&
346	:
347	AM,IDR,FCE
348	RO,IDR,FIZ
349	AM,ICE,FCE
350	RO,IIZ,FCE
351	VE,IIZ,FCE
352	VE,ICE,FIZ
353	RO,ICE,FIZ
354	AM,ICE,FIZ
355	AZ,ICE,FIZ
356	MA,ICE,FDR
357	AZ,IIZ,FCE
358	AM,IIZ,FCE
359	RO,IIZ,FDR
360	AM,ICE,FDR
361	VE,IIZ,FDR
362	AZ,ICE,FDR
363	&
364	:
365	AM,IDR,FCE
366	RO,IDR,FIZ
367	AM,ICE,FIZ
368	AZ,ICE,FIZ
369	MA,ICE,FDR
370	AZ,IIZ,FCE
371	AM,IIZ,FCE
372	AM,IIZ,FCE
373	RO,IIZ,FDR
374	RO,IIZ,FDR
375	AM,ICE,FDR
376	VE,IIZ,FDR
377	AZ,ICE,FDR
378	&
379	:
380	AM,IDR,FCE
381	RO,IDR,FCE
382	VE,IIZ,FCE
383	RO,ICE,FIZ
384	VE,ICE,FIZ
385	RO,ICE,FIZ
386	AM,ICE,FIZ
387	AZ,ICE,FIZ
388	MA,ICE,FDR
389	AZ,IIZ,FCE
390	AM,IIZ,FCE
391	RO,IIZ,FDR
392	AM,ICE,FDR
393	VE,IIZ,FDR
394	AZ,ICE,FDR
395	&
396	:
397	AM,IDR,FIZ
398	RO,IDR,FIZ
399	AZ,ICE,FIZ
400	MA,ICE,FDR
401	AZ,IIZ,FCE
402	RO,IIZ,FDR
403	AM,IIZ,FDR
404	VE,IIZ,FDR
405	AZ,ICE,FDR
406	&
407	:
408	AZ,ICE,FIZ
409	AM,IDR,FIZ
410	RO,IDR,FIZ
411	MA,ICE,FDR
412	RO,IIZ,FDR
413	AM,IIZ,FDR
414	AZ,IIZ,FCE
415	VE,IIZ,FDR
416	AZ,ICE,FDR
417	&
418	:
419	AM,IDR,FIZ
420	RO,IDR,FIZ
421	AZ,ICE,FIZ
422	MA,ICE,FDR
423	AZ,IIZ,FCE
424	RO,IIZ,FDR
425	AM,IIZ,FDR
426	VE,IIZ,FDR
427	AZ,ICE,FDR
428	&
429	:
430	AM,IDR,FCE
431	RO,IDR,FIZ
432	AM,ICE,FIZ
433	AZ,ICE,FIZ
434	MA,ICE,FDR
435	AZ,IIZ,FCE
436	AM,IIZ,FCE
437	RO,IIZ,FDR
438	AM,ICE,FDR
439	VE,IIZ,FDR
440	AZ,ICE,FDR
441	&
442	:
443	AZ,ICE,FIZ
444	AM,IDR,FIZ
445	RO,IDR,FIZ
446	MA,ICE,FDR
447	RO,IIZ,FDR
448	AM,IIZ,FCE
449	AZ,IIZ,FCE
450	VE,IIZ,FIZ
451	AZ,ICE,FIZ
452	AM,ICE,FDR
453	AZ,IIZ,FCE
454	VE,IIZ,FDR
455	AZ,ICE,FDR
456	&
